Date,Price,Open,High,Low,Vol.,Change %
08-15-2017,286.00,298.22,299.91,272.29,629.18K,-4.10%
08-16-2017,301.34,286.00,304.00,279.94,526.52K,5.36%
08-17-2017,299.00,301.34,312.00,297.01,465.80K,-0.78%
08-18-2017,292.00,299.00,307.00,286.00,578.06K,-2.34%
08-19-2017,292.78,292.00,298.51,280.00,554.28K,0.27%
08-20-2017,298.37,292.78,299.00,286.96,304.35K,1.91%
08-21-2017,322.24,298.37,346.99,294.53,1.15M,8.00%
08-22-2017,312.54,322.24,329.96,285.01,857.28K,-3.01%
08-23-2017,316.50,312.54,325.00,311.65,402.80K,1.27%
08-24-2017,325.62,316.50,329.56,314.14,326.98K,2.88%
08-25-2017,328.70,325.62,338.25,324.04,378.01K,0.95%
08-26-2017,332.72,328.70,334.60,324.50,315.62K,1.22%
08-27-2017,348.01,332.72,348.01,331.88,362.05K,4.60%
08-28-2017,347.09,348.01,352.00,332.74,389.24K,-0.26%
08-29-2017,372.00,347.09,375.98,346.42,631.68K,7.18%
08-30-2017,382.78,372.00,390.10,365.10,660.23K,2.90%
08-31-2017,387.30,382.78,390.00,380.10,345.07K,1.18%
09-01-2017,390.35,387.30,395.03,383.60,461.31K,0.79%
09-02-2017,345.00,390.35,390.77,325.10,1.08M,-11.62%
09-03-2017,350.63,345.00,368.40,328.33,742.59K,1.63%
09-04-2017,295.81,350.63,351.59,275.00,1.99M,-15.63%
09-05-2017,316.18,295.81,323.17,267.64,1.34M,6.89%
09-06-2017,337.36,316.18,339.50,314.81,805.38K,6.70%
09-07-2017,334.10,337.36,338.66,321.10,582.98K,-0.97%
09-08-2017,304.00,334.10,334.58,291.00,1.08M,-9.01%
09-09-2017,303.08,304.00,307.08,291.46,594.28K,-0.30%
09-10-2017,297.90,303.08,305.00,276.11,891.44K,-1.71%
09-11-2017,297.19,297.90,308.00,287.33,609.03K,-0.24%
09-12-2017,293.90,297.19,316.73,283.00,915.33K,-1.11%
09-13-2017,275.48,293.90,294.16,256.00,1.57M,-6.27%
09-14-2017,222.50,275.48,281.01,221.71,2.25M,-19.23%
09-15-2017,258.68,222.50,269.00,198.00,3.34M,16.26%
09-16-2017,253.00,258.68,270.00,242.20,1.08M,-2.20%
09-17-2017,257.00,253.00,263.69,239.00,685.70K,1.58%
09-18-2017,296.81,257.00,299.89,257.00,1.33M,15.49%
09-19-2017,282.63,296.81,299.00,275.00,941.08K,-4.78%
09-20-2017,283.50,282.63,294.00,277.00,512.32K,0.31%
09-21-2017,256.67,283.50,287.53,251.52,1.03M,-9.46%
09-22-2017,262.19,256.67,269.50,253.03,643.20K,2.15%
09-23-2017,285.90,262.19,287.20,259.01,570.42K,9.04%
09-24-2017,282.00,285.90,294.54,275.41,687.97K,-1.36%
09-25-2017,295.20,282.00,297.93,281.80,652.31K,4.68%
09-26-2017,289.28,295.20,296.38,285.20,366.53K,-2.01%
09-27-2017,309.75,289.28,315.51,286.93,748.36K,7.08%
09-28-2017,302.63,309.75,310.69,297.75,491.02K,-2.30%
09-29-2017,292.66,302.63,303.90,280.50,966.41K,-3.29%
09-30-2017,303.44,292.66,307.76,292.30,459.21K,3.68%
10-01-2017,304.26,303.44,305.57,295.00,385.33K,0.27%
10-02-2017,296.82,304.26,304.63,292.10,468.96K,-2.45%
10-03-2017,291.69,296.82,300.50,285.93,452.02K,-1.73%
10-04-2017,291.40,291.69,296.00,287.56,394.45K,-0.10%
10-05-2017,295.12,291.40,297.92,285.12,317.81K,1.28%
10-06-2017,308.43,295.12,309.59,293.04,373.26K,4.51%
10-07-2017,311.46,308.43,315.00,304.50,409.62K,0.98%
10-08-2017,309.82,311.46,314.39,307.55,363.24K,-0.53%
10-09-2017,297.40,309.82,311.16,287.03,630.80K,-4.01%
10-10-2017,299.32,297.40,307.00,292.57,366.24K,0.65%
10-11-2017,303.20,299.32,306.55,296.60,407.08K,1.30%
10-12-2017,303.06,303.20,310.01,302.10,649.86K,-0.05%
10-13-2017,337.46,303.06,350.00,298.00,1.34M,11.35%
10-14-2017,339.24,337.46,348.00,334.05,528.58K,0.53%
10-15-2017,337.23,339.24,344.89,315.00,875.27K,-0.59%
10-16-2017,334.46,337.23,355.00,330.85,945.25K,-0.82%
10-17-2017,315.65,334.46,334.80,308.00,671.49K,-5.62%
10-18-2017,313.45,315.65,316.21,287.46,885.21K,-0.70%
10-19-2017,306.97,313.45,316.50,304.00,413.13K,-2.07%
10-20-2017,302.61,306.97,313.01,301.04,415.81K,-1.42%
10-21-2017,299.23,302.61,303.00,289.31,368.61K,-1.12%
10-22-2017,293.55,299.23,305.62,289.40,334.09K,-1.90%
10-23-2017,284.85,293.55,293.96,273.50,597.47K,-2.96%
10-24-2017,296.30,284.85,311.85,280.02,758.33K,4.02%
10-25-2017,295.46,296.30,300.00,288.50,329.33K,-0.28%
10-26-2017,295.10,295.46,299.00,290.55,207.77K,-0.12%
10-27-2017,295.99,295.10,299.50,291.60,239.63K,0.30%
10-28-2017,293.49,295.99,297.01,288.60,245.78K,-0.84%
10-29-2017,304.39,293.49,312.49,290.50,583.18K,3.71%
10-30-2017,307.00,304.39,314.40,303.93,301.72K,0.86%
10-31-2017,303.69,307.00,312.00,303.10,285.81K,-1.08%
11-01-2017,288.60,303.69,305.11,287.04,538.44K,-4.97%
11-02-2017,284.89,288.60,293.01,275.21,910.76K,-1.29%
11-03-2017,303.47,284.89,307.36,284.00,760.96K,6.52%
11-04-2017,299.48,303.47,304.38,293.00,463.88K,-1.31%
11-05-2017,295.63,299.48,301.00,292.28,345.21K,-1.29%
11-06-2017,296.90,295.63,310.00,292.00,557.78K,0.43%
11-07-2017,291.42,296.90,304.20,285.01,757.80K,-1.85%
11-08-2017,307.50,291.42,318.90,290.11,1.17M,5.52%
11-09-2017,319.52,307.50,328.80,305.00,881.18K,3.91%
11-10-2017,296.18,319.52,324.03,286.00,1.16M,-7.30%
11-11-2017,313.07,296.18,319.88,294.70,604.70K,5.70%
11-12-2017,303.90,313.07,316.99,293.33,879.41K,-2.93%
11-13-2017,313.22,303.90,318.00,302.40,696.37K,3.07%
11-14-2017,334.28,313.22,336.69,313.22,854.09K,6.72%
11-15-2017,330.59,334.28,339.61,321.50,584.66K,-1.10%
11-16-2017,330.76,330.59,335.11,321.18,521.94K,0.05%
11-17-2017,331.00,331.16,335.01,325.00,530.71K,0.07%
11-18-2017,346.68,331.00,350.40,325.32,518.81K,4.74%
11-19-2017,354.70,346.68,371.00,343.28,618.02K,2.31%
11-20-2017,367.94,354.70,373.70,352.03,519.57K,3.73%
11-21-2017,360.00,367.94,373.50,350.00,696.99K,-2.16%
11-22-2017,380.48,360.00,381.89,358.80,486.17K,5.69%
11-23-2017,405.19,380.48,426.27,374.34,925.00K,6.49%
11-24-2017,470.51,405.19,478.50,397.37,903.70K,16.12%
11-25-2017,464.00,469.89,481.99,454.40,589.72K,-1.38%
11-26-2017,464.00,464.00,464.00,464.00,-,0.00%
11-27-2017,473.44,464.00,491.89,458.25,671.20K,2.03%
11-28-2017,465.56,473.44,479.00,457.20,538.34K,-1.66%
11-29-2017,420.34,465.56,517.00,403.01,801.26K,-9.71%
11-30-2017,432.21,420.34,454.95,385.40,785.98K,2.82%
12-01-2017,460.67,432.21,467.00,413.96,594.10K,6.58%
12-02-2017,455.51,460.67,472.00,447.00,473.67K,-1.12%
12-03-2017,459.49,455.51,482.69,431.04,482.91K,0.87%
12-04-2017,465.00,459.49,471.06,439.27,431.18K,1.20%
12-05-2017,451.87,465.00,467.38,444.17,656.34K,-2.82%
12-06-2017,413.71,451.87,454.23,403.00,1.29M,-8.44%
12-07-2017,415.02,413.71,429.00,390.00,1.13M,0.32%
12-08-2017,442.19,415.02,453.61,400.34,1.12M,6.55%
12-09-2017,460.92,442.19,487.80,441.00,1.13M,4.24%
12-10-2017,429.24,460.92,460.92,413.30,875.79K,-6.87%
12-11-2017,515.25,429.24,531.20,429.14,784.74K,20.04%
12-12-2017,634.87,515.25,646.92,497.75,1.49M,23.22%
12-13-2017,690.69,634.87,742.00,573.00,2.40M,8.79%
12-14-2017,686.51,690.69,760.00,651.00,1.73M,-0.61%
12-15-2017,678.29,686.51,698.31,610.00,1.26M,-1.20%
12-16-2017,683.25,678.29,711.96,672.51,703.29K,0.73%
12-17-2017,708.78,683.25,725.00,683.24,737.16K,3.74%
12-18-2017,783.99,708.78,798.90,660.00,1.47M,10.61%
12-19-2017,799.98,783.99,863.00,750.01,1.81M,2.04%
12-20-2017,794.99,799.98,826.20,709.00,1.48M,-0.62%
12-21-2017,786.97,794.99,848.08,747.10,1.20M,-1.01%
12-22-2017,628.19,786.97,792.00,492.01,2.73M,-20.18%
12-23-2017,672.59,628.19,717.00,616.19,842.43K,7.07%
12-24-2017,659.89,672.59,675.00,560.00,1.09M,-1.89%
12-25-2017,709.81,659.89,737.00,651.76,764.73K,7.56%
12-26-2017,749.80,709.81,749.80,708.83,521.74K,5.63%
12-27-2017,736.45,749.80,766.06,703.27,587.33K,-1.78%
12-28-2017,711.42,736.45,740.30,652.00,893.82K,-3.40%
12-29-2017,731.52,711.42,755.00,703.02,716.87K,2.83%
12-30-2017,682.22,731.52,737.56,640.43,936.94K,-6.74%
12-31-2017,736.77,682.22,741.99,675.56,536.84K,8.00%
01-01-2018,752.46,736.77,762.00,717.94,425.46K,2.13%
01-02-2018,858.78,752.46,890.00,752.46,1.47M,14.13%
01-03-2018,942.01,858.78,954.73,840.00,1.09M,9.69%
01-04-2018,940.00,942.01,997.00,893.24,1.22M,-0.21%
01-05-2018,962.77,939.30,1023.60,930.00,1.04M,2.42%
01-06-2018,1004.30,962.77,1014.20,951.38,447.26K,4.31%
01-07-2018,1115.80,1004.30,1116.00,999.50,699.39K,11.10%
01-08-2018,1129.30,1115.90,1225.00,968.12,1.54M,1.21%
01-09-2018,1283.70,1129.40,1299.00,1119.10,1.04M,13.67%
01-10-2018,1248.00,1285.70,1381.90,1203.20,1.33M,-2.78%
01-11-2018,1135.50,1245.90,1331.80,1102.50,1.26M,-9.01%
01-12-2018,1257.20,1135.10,1285.00,1083.40,732.33K,10.72%
01-13-2018,1380.00,1257.00,1423.20,1252.60,709.74K,9.77%
01-14-2018,1350.00,1379.90,1385.00,1256.00,618.61K,-2.17%
01-15-2018,1273.40,1349.90,1377.90,1264.40,481.87K,-5.67%
01-16-2018,1020.10,1275.80,1278.80,868.98,2.35M,-19.89%
01-17-2018,1017.50,1019.60,1088.30,770.10,2.40M,-0.25%
01-18-2018,994.81,1020.10,1079.00,940.00,1.31M,-2.23%
01-19-2018,1032.60,993.92,1079.00,960.10,612.19K,3.80%
01-20-2018,1146.00,1032.60,1160.00,1029.60,573.52K,10.98%
01-21-2018,1047.00,1146.30,1146.30,1001.50,691.69K,-8.64%
01-22-2018,995.08,1047.00,1084.10,912.76,835.88K,-4.96%
01-23-2018,982.98,995.26,1022.00,905.38,798.28K,-1.22%
01-24-2018,1063.20,982.11,1068.80,952.04,606.14K,8.16%
01-25-2018,1048.20,1061.80,1102.40,1025.10,567.30K,-1.41%
01-26-2018,1047.00,1048.20,1078.60,983.00,485.47K,-0.11%
01-27-2018,1114.80,1046.90,1125.30,1031.60,370.17K,6.48%
01-28-2018,1246.60,1114.70,1264.80,1109.00,662.74K,11.82%
01-29-2018,1175.00,1245.50,1259.80,1155.90,488.44K,-5.74%
01-30-2018,1071.90,1174.36,1178.92,1042.90,1.42M,-8.77%
01-31-2018,1118.08,1072.17,1126.87,1028.03,990.74K,4.31%
02-01-2018,1033.55,1118.15,1157.09,970.42,1.76M,-7.56%
02-02-2018,920.85,1033.02,1036.17,766.82,3.03M,-10.90%
02-03-2018,971.49,920.93,997.51,850.38,1.07M,5.50%
02-04-2018,829.43,971.49,972.66,788.79,1.34M,-14.62%
02-05-2018,696.86,828.49,859.72,634.64,2.99M,-15.98%
02-06-2018,783.83,696.75,797.94,568.78,4.29M,12.48%
02-07-2018,753.18,782.72,852.98,719.34,1.98M,-3.91%
02-08-2018,805.40,752.75,831.02,751.76,1.25M,6.93%
02-09-2018,877.85,805.15,879.51,781.97,923.81K,9.00%
02-10-2018,851.39,877.88,908.26,816.72,1.05M,-3.01%
02-11-2018,810.45,851.44,854.10,778.90,988.45K,-4.81%
02-12-2018,865.62,811.01,875.52,810.99,837.42K,6.81%
02-13-2018,841.38,865.72,868.92,822.98,733.53K,-2.80%
02-14-2018,919.67,841.38,922.38,840.82,993.86K,9.30%
02-15-2018,927.56,919.53,945.99,902.56,952.23K,0.86%
02-16-2018,937.50,927.34,945.68,907.33,662.76K,1.07%
02-17-2018,971.54,937.35,972.86,934.49,648.32K,3.63%
02-18-2018,913.10,971.57,980.27,903.28,869.06K,-6.02%
02-19-2018,940.08,913.09,954.94,910.29,552.22K,2.95%
02-20-2018,884.51,940.04,959.41,877.65,788.97K,-5.91%
02-21-2018,839.10,884.94,906.43,818.48,1.01M,-5.13%
02-22-2018,803.66,838.97,878.14,789.92,849.82K,-4.22%
02-23-2018,856.65,803.56,882.61,787.95,868.36K,6.59%
02-24-2018,834.36,854.99,874.49,810.91,669.62K,-2.60%
02-25-2018,840.88,834.10,849.36,818.46,507.82K,0.78%
02-26-2018,866.99,841.28,879.18,835.34,619.75K,3.11%
02-27-2018,871.44,867.06,894.78,861.40,569.30K,0.51%
02-28-2018,852.49,871.58,888.06,850.84,550.74K,-2.17%
03-01-2018,870.04,852.44,879.53,848.41,514.50K,2.06%
03-02-2018,856.09,870.51,875.69,850.47,463.75K,-1.60%
03-03-2018,855.91,855.46,868.51,853.45,407.54K,-0.02%
03-04-2018,865.53,855.91,867.35,838.06,444.49K,1.12%
03-05-2018,850.24,865.53,870.27,850.24,466.38K,-1.77%
03-06-2018,814.88,850.00,851.72,803.90,578.56K,-4.16%
03-07-2018,749.98,814.56,824.83,724.98,945.38K,-7.96%
03-08-2018,698.96,750.09,772.23,689.41,850.15K,-6.80%
03-09-2018,725.89,698.91,728.83,644.46,1.13M,3.85%
03-10-2018,682.52,725.70,746.13,678.46,673.80K,-5.97%
03-11-2018,720.12,682.77,733.33,664.53,690.94K,5.51%
03-12-2018,697.04,720.12,739.25,678.27,664.59K,-3.20%
03-13-2018,689.57,697.06,713.80,680.01,558.73K,-1.07%
03-14-2018,612.09,689.67,702.53,587.10,990.48K,-11.24%
03-15-2018,610.13,612.08,620.01,572.69,991.89K,-0.32%
03-16-2018,600.79,610.36,625.34,585.84,695.58K,-1.53%
03-17-2018,550.27,600.48,609.48,544.51,777.54K,-8.41%
03-18-2018,536.72,549.96,559.19,454.90,2.56M,-2.46%
03-19-2018,556.16,536.72,558.33,516.31,1.46M,3.62%
03-20-2018,557.08,555.75,566.63,517.02,1.16M,0.17%
03-21-2018,560.24,557.09,589.83,545.87,1.01M,0.57%
03-22-2018,539.87,559.90,577.63,517.81,887.95K,-3.63%
03-23-2018,543.42,539.90,543.51,508.36,871.89K,0.66%
03-24-2018,520.45,543.15,545.15,520.05,554.62K,-4.23%
03-25-2018,523.50,520.44,535.11,513.05,495.85K,0.59%
03-26-2018,485.98,523.46,526.22,467.46,1.15M,-7.17%
03-27-2018,448.48,485.97,491.77,446.70,1.31M,-7.72%
03-28-2018,446.84,448.73,465.09,440.84,918.12K,-0.37%
03-29-2018,384.12,446.86,449.33,380.85,2.01M,-14.03%
03-30-2018,393.79,384.13,411.17,366.12,1.96M,2.52%
03-31-2018,393.96,393.75,419.07,390.09,1.21M,0.04%
04-01-2018,378.75,394.10,399.46,359.49,1.24M,-3.86%
04-02-2018,385.07,378.85,393.94,375.67,824.81K,1.67%
04-03-2018,415.55,385.02,418.78,380.89,1.06M,7.92%
04-04-2018,378.68,415.58,416.38,371.35,1.12M,-8.87%
04-05-2018,381.52,378.62,386.91,367.21,903.27K,0.75%
04-06-2018,369.97,381.69,385.70,363.83,700.80K,-3.03%
04-07-2018,384.87,369.97,394.66,369.41,600.40K,4.03%
04-08-2018,400.71,384.85,403.71,384.85,569.26K,4.12%
04-09-2018,399.05,400.67,430.85,388.05,1.30M,-0.41%
04-10-2018,415.45,399.04,417.84,391.81,709.22K,4.11%
04-11-2018,430.14,415.43,433.25,412.35,827.17K,3.54%
04-12-2018,494.03,430.13,498.13,414.07,1.86M,14.85%
04-13-2018,493.48,494.25,528.71,482.19,1.67M,-0.11%
04-14-2018,502.52,494.36,514.14,486.89,924.64K,1.83%
04-15-2018,533.90,502.52,534.18,502.52,988.29K,6.24%
04-16-2018,511.82,533.89,537.32,498.87,1.03M,-4.14%
04-17-2018,503.19,511.75,520.86,501.73,826.71K,-1.69%
04-18-2018,525.66,503.24,526.41,502.02,759.15K,4.47%
04-19-2018,567.49,525.74,570.15,522.15,1.04M,7.96%
04-20-2018,617.04,567.70,620.58,558.27,1.42M,8.73%
04-21-2018,605.59,617.10,623.86,574.73,1.23M,-1.86%
04-22-2018,622.23,605.58,643.58,591.78,1.02M,2.75%
04-23-2018,644.13,622.01,648.58,619.81,859.64K,3.52%
04-24-2018,703.02,644.08,711.74,644.05,1.48M,9.14%
04-25-2018,617.36,702.94,703.25,594.98,2.72M,-12.18%
04-26-2018,662.36,617.37,665.20,600.69,1.37M,7.29%
04-27-2018,643.97,661.65,685.54,641.84,1.06M,-2.78%
04-28-2018,683.49,643.96,693.79,640.92,871.55K,6.14%
04-29-2018,689.90,683.49,700.05,669.15,856.12K,0.94%
04-30-2018,670.07,689.83,693.85,664.03,913.86K,-2.87%
05-01-2018,671.26,670.12,674.36,630.33,1.03M,0.18%
05-02-2018,688.15,671.31,690.97,664.29,873.98K,2.52%
05-03-2018,778.95,688.23,788.61,686.79,1.55M,13.19%
05-04-2018,785.20,778.97,806.90,760.10,1.24M,0.80%
05-05-2018,818.33,785.29,830.03,782.18,1.00M,4.22%
05-06-2018,793.19,818.75,838.26,755.09,1.16M,-3.07%
05-07-2018,754.03,793.29,797.30,700.40,2.12M,-4.94%
05-08-2018,748.48,759.35,761.43,721.49,1.14M,-0.74%
05-09-2018,751.62,747.98,759.71,711.49,1.07M,0.42%
05-10-2018,724.40,751.98,768.24,723.39,983.14K,-3.62%
05-11-2018,676.21,724.36,736.58,665.81,1.63M,-6.65%
05-12-2018,683.94,676.97,689.83,635.23,1.34M,1.14%
05-13-2018,729.37,684.77,739.67,669.20,1.01M,6.64%
05-14-2018,727.06,729.41,741.52,687.16,1.39M,-0.32%
05-15-2018,705.73,727.06,738.71,696.63,1.03M,-2.93%
05-16-2018,706.53,705.73,710.49,667.51,978.18K,0.11%
05-17-2018,668.97,706.53,718.50,663.91,953.69K,-5.32%
05-18-2018,693.28,668.98,694.24,658.25,906.93K,3.63%
05-19-2018,696.76,693.28,716.51,683.38,732.31K,0.50%
05-20-2018,716.02,696.73,722.92,688.70,702.63K,2.77%
05-21-2018,696.85,716.02,718.06,694.07,590.69K,-2.68%
05-22-2018,642.17,696.84,698.48,639.20,928.09K,-7.85%
05-23-2018,577.55,642.02,649.85,564.74,1.78M,-10.06%
05-24-2018,602.43,577.52,609.39,547.39,1.56M,4.31%
05-25-2018,585.39,602.40,616.48,569.77,1.08M,-2.83%
05-26-2018,586.76,585.39,606.26,579.36,651.25K,0.24%
05-27-2018,570.69,586.63,591.48,558.44,892.94K,-2.74%
05-28-2018,512.29,570.67,575.00,507.72,1.50M,-10.23%
05-29-2018,566.81,512.32,572.71,511.94,1.38M,10.64%
05-30-2018,557.98,566.86,584.90,543.16,1.06M,-1.56%
05-31-2018,577.87,557.96,586.15,554.96,922.24K,3.56%
06-01-2018,579.30,577.87,589.55,565.69,861.91K,0.25%
06-02-2018,591.30,579.34,598.78,574.80,808.42K,2.07%
06-03-2018,619.08,591.33,627.51,590.81,764.93K,4.70%
06-04-2018,591.44,619.09,624.81,580.71,809.80K,-4.46%
06-05-2018,608.83,591.44,613.00,577.53,829.99K,2.94%
06-06-2018,606.39,608.83,611.63,593.98,700.74K,-0.40%
06-07-2018,604.71,606.39,616.52,600.29,843.32K,-0.28%
06-08-2018,599.67,604.71,608.32,593.74,622.54K,-0.83%
06-09-2018,593.80,599.67,608.65,592.54,534.16K,-0.98%
06-10-2018,524.64,593.80,593.82,503.43,1.49M,-11.65%
06-11-2018,531.42,524.64,535.63,510.29,1.21M,1.29%
06-12-2018,494.48,531.40,538.16,484.99,1.24M,-6.95%
06-13-2018,476.17,494.60,501.64,450.67,1.56M,-3.70%
06-14-2018,519.49,476.17,525.21,461.62,1.70M,9.10%
06-15-2018,487.88,519.49,520.73,483.99,1.25M,-6.09%
06-16-2018,496.93,487.88,502.47,484.89,749.09K,1.86%
06-17-2018,496.43,496.95,507.19,494.73,604.79K,-0.10%
06-18-2018,517.91,496.47,523.95,489.16,842.05K,4.33%
06-19-2018,538.22,517.91,547.50,514.88,985.96K,3.92%
06-20-2018,536.31,538.22,541.08,517.42,873.14K,-0.36%
06-21-2018,526.01,536.31,544.71,522.47,774.03K,-1.92%
06-22-2018,462.57,525.97,526.26,450.72,1.74M,-12.06%
06-23-2018,474.14,462.58,482.42,456.46,1.22M,2.50%
06-24-2018,454.81,474.14,475.74,419.56,2.64M,-4.08%
06-25-2018,458.76,454.81,472.54,437.08,4.41M,0.87%
06-26-2018,430.33,458.76,459.96,429.87,5.31M,-6.20%
06-27-2018,442.16,430.32,445.38,423.01,2.02M,2.75%
06-28-2018,421.27,442.16,443.32,418.62,1.66M,-4.73%
06-29-2018,410.23,421.23,424.83,408.36,1.29M,-2.62%